username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2018-02-05 17:07;0;0;"Kandee you are so beautiful. That is all x";;;;"960651164873347073";https://twitter.com/MadPinkLady/status/960651164873347073
;2018-02-05 16:08;0;2;"Foundation For Beginners | How to Avoid Cakey Face https:// youtu.be/eVxgWwnidmk #Foundation #Makeup #BeautyBlender #BeautyBloggers #EsteeLauder #Clinique #Lancome #BobbiBrown #MakeupForever #FoundationTechniques #CakeFace #MAC_Cosmetics #AnastasiaBeverlyHills";;;#Foundation #Makeup #BeautyBlender #BeautyBloggers #EsteeLauder #Clinique #Lancome #BobbiBrown #MakeupForever #FoundationTechniques #CakeFace #MAC_Cosmetics #AnastasiaBeverlyHills;"960636163362099202";https://twitter.com/ayesha14x/status/960636163362099202
;2018-02-05 15:04;0;4;"Love your hair @kandeejohnson ! So glad you're enjoying Cerafill! Let us know if there's anything else you'd like to try!";;@kandeejohnson;;"960620159944876032";https://twitter.com/Redken5thAve/status/960620159944876032
;2018-02-09 09:57;0;2;"Off to work I go! #lovemyjob @beautyblender #PA #bethlehem #lovemycrew @Bethlehem,… https://www. instagram.com/p/Be-1LU0Aw0l/";;@beautyblender @Bethlehem;#lovemyjob #PA #bethlehem #lovemycrew;"961992405133258752";https://twitter.com/ReaAnn/status/961992405133258752
;2018-02-09 09:38;0;1;"Is it weird that cleaning all my Beautyblenders is honestly the highlight of my day? It is literally the most satisfying thing ever omg @beautyblender";;@beautyblender;;"961987685110964230";https://twitter.com/itsnikkkibetch/status/961987685110964230
;2018-02-09 00:22;0;1;"Felt the love backstage #GoRedForWomen #RedDressCollection #NYFW2018 #BeautyBlender What’s an… https://www. instagram.com/p/Be9zkmxgELz/";;;#GoRedForWomen #RedDressCollection #NYFW2018 #BeautyBlender;"961847753159553024";https://twitter.com/Makeupby_Jay/status/961847753159553024
;2018-02-08 12:35;0;0;"i’m rly just curious on what everyone else does! i used to use baby soap or facial cleansers but i bought a gift set over the holidays when i bought a new beautyblender and got the blendercleanser solid and it’s bougie as hell but it rly cleans the hell outta your sponge :/ https:// twitter.com/ideksidney/sta tus/961667973596504065 …";;;;"961669796659187713";https://twitter.com/ideksidney/status/961669796659187713
;2018-02-08 09:37;0;1;"What did I even use for my makeup before the @beautyblender ?!?";;@beautyblender;;"961625042189783041";https://twitter.com/sheaISrad08/status/961625042189783041
;2018-02-07 10:37;0;1;"#wcw the women behind these beauty brands @fentybeauty meltcosmetics @beautyblender https://www. instagram.com/p/Be5wW4ihXbS/";;@fentybeauty @beautyblender;#wcw;"961277734898069504";https://twitter.com/ThereseCrews/status/961277734898069504
;2018-02-07 06:12;0;0;"A Beautyblender is a Beautyblender is a Beautyblender . . . but there's something about a fun… https://www. instagram.com/p/Be5SDd-nPs3/";;;;"961211098643955713";https://twitter.com/jennysimonFACE/status/961211098643955713
;2018-02-06 00:49;0;3;"Genial";;;;"960767420565729281";https://twitter.com/Ariencilla/status/960767420565729281
;2018-02-05 15:03;0;0;"Never had one. Do I need?";;;;"960619820428484611";https://twitter.com/RockyRichard3/status/960619820428484611
;2018-02-05 14:59;1;9;"Strike blender gold!! - http:// ift.tt/2BYWXz3";;;;"960619016682442752";https://twitter.com/beautyblender/status/960619016682442752
;2018-02-05 14:56;0;1;"If you buy ONE beauty product this month....NEW POST is live on the blog - link in bio! - @colorescience #colorescience #skincare #makeup #beautysponge #beautyblender #makeupsponge #concealer #eyecream #multitasking #newvideo #youtuber #smallyoutuber #ma … http:// ift.tt/2sbDvQ0";;@colorescience;#colorescience #skincare #makeup #beautysponge #beautyblender #makeupsponge #concealer #eyecream #multitasking #newvideo #youtuber #smallyoutuber #ma;"960618209249497089";https://twitter.com/toreynoora/status/960618209249497089
;2018-02-05 14:55;0;1;"can u please follow me? ilysm";;;;"960617957327024129";https://twitter.com/ccoollleenn/status/960617957327024129
;2018-02-05 14:55;0;1;"You look absolutely beautiful !!!!!";;;;"960617911374270466";https://twitter.com/Nesrinekada/status/960617911374270466
